"filename", "language", "HTML", "JavaScript", "JSON", "vue", "Markdown", "comment", "blank", "total"
"c:\Users\朱嘉诚\Desktop\eduction\README.md", "Markdown", 0, 0, 0, 0, 18, 0, 12, 30
"c:\Users\朱嘉诚\Desktop\eduction\index.html", "HTML", 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\朱嘉诚\Desktop\eduction\package-lock.json", "JSON", 0, 0, 949, 0, 0, 0, 1, 950
"c:\Users\朱嘉诚\Desktop\eduction\package.json", "JSON", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\朱嘉诚\Desktop\eduction\src\App.vue", "vue", 0, 0, 0, 207, 0, 3, 44, 254
"c:\Users\朱嘉诚\Desktop\eduction\src\components\Detail.vue", "vue", 0, 0, 0, 387, 0, 5, 51, 443
"c:\Users\朱嘉诚\Desktop\eduction\src\components\EquipmentCard.vue", "vue", 0, 0, 0, 43, 0, 1, 8, 52
"c:\Users\朱嘉诚\Desktop\eduction\src\main.js", "JavaScript", 0, 13, 0, 0, 0, 0, 7, 20
"c:\Users\朱嘉诚\Desktop\eduction\src\router\index.js", "JavaScript", 0, 63, 0, 0, 0, 15, 6, 84
"c:\Users\朱嘉诚\Desktop\eduction\src\utils\axios.js", "JavaScript", 0, 51, 0, 0, 0, 23, 7, 81
"c:\Users\朱嘉诚\Desktop\eduction\src\views\Department.vue", "vue", 0, 0, 0, 33, 0, 0, 6, 39
"c:\Users\朱嘉诚\Desktop\eduction\src\views\Home.vue", "vue", 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\朱嘉诚\Desktop\eduction\src\views\Login.vue", "vue", 0, 0, 0, 379, 0, 0, 59, 438
"c:\Users\朱嘉诚\Desktop\eduction\src\views\Teacher.vue", "vue", 0, 0, 0, 59, 0, 0, 6, 65
"c:\Users\朱嘉诚\Desktop\eduction\src\views\property\Equipment.vue", "vue", 0, 0, 0, 70, 0, 1, 7, 78
"c:\Users\朱嘉诚\Desktop\eduction\src\views\property\Laboratory.vue", "vue", 0, 0, 0, 41, 0, 0, 6, 47
"c:\Users\朱嘉诚\Desktop\eduction\src\views\student\Handbook.vue", "vue", 0, 0, 0, 12, 0, 0, 4, 16
"c:\Users\朱嘉诚\Desktop\eduction\src\views\student\Student.vue", "vue", 0, 0, 0, 57, 0, 0, 6, 63
"c:\Users\朱嘉诚\Desktop\eduction\vite.config.js", "JavaScript", 0, 13, 0, 0, 0, 1, 3, 17
"Total", "-", 13, 140, 969, 1300, 18, 49, 238, 2727